,Name,Date,Year of Birth
801,Forrest McKenzie,2/16,1963
802,Craig Neal,2/16,1964
803,Martin Nessley,2/16,1965
804,Richard Rellford,2/16,1964
805,Pep Saul,2/16,1924
806,Hasheem Thabeet,2/16,1987
807,Kelly Tripucka,2/16,1959
808,Coby White,2/16,2000
809,Herb Williams,2/16,1958
810,Shawne Williams,2/16,1986
811,Qyntel Woods,2/16,1981
812,Stacey Arceneaux,2/17,1936
813,Amari Bailey,2/17,2004
814,Norm Baker,2/17,1923
815,Drew Barry,2/17,1973
816,Gene Dyker,2/17,1930
817,Marcin Gortat,2/17,1984
818,Al Harrington,2/17,1980
819,Mike Higgins,2/17,1967
820,Michael Jordan,2/17,1963
821,Ray Kuka,2/17,1922
822,Phil Pressey,2/17,1991
823,Bob Santini,2/17,1935
824,Claudia Neves,2/17,1975
825,Chelsea Newton,2/17,1983
826,Brandy Reed,2/17,1977
827,Gus Bailey,2/18,1951
828,Kentavious Caldwell-Pope,2/18,1993
829,Randy Denton,2/18,1949
830,Tyler Dorsey,2/18,1996
831,Pat Frink,2/18,1945
832,Jim Hayes,2/18,1948
833,Jaime Jaquez Jr.,2/18,2001
834,Andrei Kirilenko,2/18,1981
835,Maurice Lucas,2/18,1952
836,Jason Maxiell,2/18,1983
837,Sylvester Norris,2/18,1957
838,Marv Schatzman,2/18,1927
839,Tom Sluby,2/18,1962
840,Bill Turner,2/18,1944
841,Kyle Weaver,2/18,1986
842,Fly Williams,2/18,1953
843,Marv Winkler,2/18,1948
844,Paul Zipser,2/18,1994
845,Kara Braxton,2/18,1983
846,Sonja Petrovic,2/18,1989
847,Lewis Brown,2/19,1955
848,Tommy Byrnes,2/19,1923
849,Nikola Jokić,2/19,1995
850,Walter Jordan,2/19,1956
851,Rudy Macklin,2/19,1958
852,Marlon Maxey,2/19,1969
853,Mike Miller,2/19,1980
854,Pete Nance,2/19,2000
855,Ed Nealy,2/19,1960
856,Adreian Payne,2/19,1991
857,Kosta Perović,2/19,1985
858,John Pinone,2/19,1961
859,Terrence Rencher,2/19,1973
860,Chico Vaughn,2/19,1940
861,Jeff Webster,2/19,1971
862,Jahidi White,2/19,1976
863,Jawad Williams,2/19,1983
864,D.J. Wilson,2/19,1996
865,Danielle Adams,2/19,1989
866,Chelsea Poppens,2/19,1991
867,Charles Barkley,2/20,1963
868,Robert Churchwell,2/20,1972
869,Jarrett Culver,2/20,1999
870,James Johnson,2/20,1987
871,Stephon Marbury,2/20,1977
872,Rawle Marshall,2/20,1982
873,Ruben Nembhard,2/20,1972
874,Frank Oleynick,2/20,1955
875,Olivier Sarr,2/20,1999
876,Milt Wagner,2/20,1963
877,Michelle Campbell,2/20,1974
878,Jordan Hooper,2/20,1992
879,Erick Barkley,2/21,1978
880,Andre Barrett,2/21,1982
881,Steve Francis,2/21,1977
882,Donté Greene,2/21,1988
883,Malik Newman,2/21,1997
884,Gary Plummer,2/21,1962
885,Alisia Jenkins,2/21,1994
886,Itoro Umoh-Coleman,2/21,1977
887,Dennis Awtrey,2/22,1948
888,Archie Dees,2/22,1936
889,Chris Dudley,2/22,1965
890,Julius Erving,2/22,1950
891,Gene Gallette,2/22,1919
892,Devonte' Graham,2/22,1995
893,Trayce Jackson-Davis,2/22,2000
894,Tony Jaros,2/22,1920
895,George Kaftan,2/22,1928
896,Adam Keefe,2/22,1970
897,Goose Ligon,2/22,1944
898,Lewis Lloyd,2/22,1959
899,Ted Manakas,2/22,1951
900,Leland Mitchell,2/22,1941
901,Lee Nailon,2/22,1975
902,Charles O'Bannon,2/22,1975
903,Elfrid Payton,2/22,1994
904,Jim Petersen,2/22,1962
905,Jerome Robinson,2/22,1997
906,Rajon Rondo,2/22,1986
907,Dick Van Arsdale,2/22,1943
908,Tom Van Arsdale,2/22,1943
909,Chet Walker,2/22,1940
910,Jayson Williams,2/22,1968
911,Howie Wright,2/22,1947
912,Natasha Cloud,2/22,1992
913,Keisha Hampton,2/22,1990
914,Joyner Holmes,2/22,1998
915,Kia Nurse,2/22,1996
916,Chay Shegog,2/22,1990
917,Roger Brown,2/23,1950
918,Charles Edge,2/23,1950
919,Mal Graham,2/23,1945
920,Gary Gray,2/23,1945
921,Malik Hairston,2/23,1987
922,Armon Johnson,2/23,1989
923,Leary Lentz,2/23,1945
924,Ariel Maughan,2/23,1923
925,Dave Minor,2/23,1922
926,Jamal Murray,2/23,1997
927,Jeff Nordgaard,2/23,1973
928,D'Angelo Russell,2/23,1996
929,Lee Shaffer,2/23,1939
930,Dijon Thompson,2/23,1983
931,Darren Tillis,2/23,1960
932,Jamie Watson,2/23,1972
933,Andrew Wiggins,2/23,1995
934,Jessica Breland,2/23,1988
935,Jasmine Dickey,2/23,2000
936,Sandora Irvin,2/23,1982
937,Jia Perkins,2/23,1982
938,Rodrigue Beaubois,2/24,1988
939,Moe Becker,2/24,1917
940,Corey Benjamin,2/24,1978
941,Jim Brogan,2/24,1958
942,Tom Burleson,2/24,1952
943,Eddie Johnson,2/24,1955
944,Kosta Koufos,2/24,1989
945,Al Tucker,2/24,1943
946,Rennia Davis,2/24,1999
947,Angel Goodrich,2/24,1990
948,Stephanie Mavunga,2/24,1995
949,Ashley Walker,2/24,1987
950,James Blackwell,2/25,1968
951,Nelson Bobb,2/25,1924
952,Antonio Burks,2/25,1980
953,Vernon Carey Jr.,2/25,2001
954,Gary Forbes,2/25,1985
955,Jimmer Fredette,2/25,1989
956,Matt Guokas,2/25,1944
957,Mario Hezonja,2/25,1995
958,Donald Hodge,2/25,1969
959,Thon Maker,2/25,1997
960,E'Twaun Moore,2/25,1989
961,Joakim Noah,2/25,1985
962,Brandin Podziemski,2/25,2003
963,Cincy Powell,2/25,1942
964,Trevelin Queen,2/25,1997
965,Kurt Rambis,2/25,1958
966,Milt Schoon,2/25,1922
967,Gene Vance,2/25,1923
968,Fred VanVleet,2/25,1994
969,Samaki Walker,2/25,1976
970,Frank Williams,2/25,1980
971,Nikita Wilson,2/25,1964
972,Nadia Colhado,2/25,1989
973,Monique Currie,2/25,1983
974,Jenny Mowe,2/25,1978
975,Chuck Aleksinas,2/26,1959
976,Rolando Blackman,2/26,1959
977,Steve Blake,2/26,1980
978,Sasha Danilović,2/26,1970
979,Joe Holup,2/26,1934
980,David Johnson,2/26,2001
981,Clint McDaniel,2/26,1972
982,Chuck Mrazovich,2/26,1924
983,Craig Porter Jr.,2/26,2000
984,Lavor Postell,2/26,1978
985,Tex Ritter,2/26,1924
986,Bingo Smith,2/26,1946
987,Jim Spruill,2/26,1923
988,Tim Thomas,2/26,1977
989,Tricia Bader Binford,2/26,1973
990,Nyara Sabally,2/26,2000
991,James Augustine,2/27,1984
992,Johnny Davis,2/27,2002
993,Smokey Gaines,2/27,1940
994,Daniel Gibson,2/27,1986
995,Walt Gilmore,2/27,1947
996,Chick Halbert,2/27,1919
997,Devin Harris,2/27,1983
998,Dwight Jones,2/27,1952
999,Wil Jones,2/27,1947
1000,Rod Knowles,2/27,1946
1001,Meyers Leonard,2/27,1992
1002,David Noel,2/27,1984
1003,Terence Stansbury,2/27,1961
1004,Loy Vaught,2/27,1968
1005,Brandon Williams,2/27,1975
1006,James Worthy,2/27,1961
1007,Nicky Anosike,2/27,1986
1008,Vincent Askew,2/28,1966
1009,Ticky Burden,2/28,1953
1010,Alex Caruso,2/28,1994
1011,Adrian Dantley,2/28,1955
1012,Luka Dončić,2/28,1999
1013,Francisco Elson,2/28,1976
1014,Duane Ferrell,2/28,1965
1015,Charles Jenkins,2/28,1989
1016,Tommy Kron,2/28,1943
1017,Josh McRoberts,2/28,1987
1018,Tayshaun Prince,2/28,1980
1019,Tom Riker,2/28,1950
1020,Marquis Teague,2/28,1993
1021,Jamaal Tinsley,2/28,1978
1022,Cassius Winston,2/28,1998
1023,Angela Aycock,2/28,1973
1024,Leigh Aziz,2/28,1979
1025,Nekeshia Henderson,2/28,1973
1026,Chucky Brown,2/29,1968
1027,John Chaney,2/29,1920
1028,Vonteego Cummings,2/29,1976
1029,Tyrese Haliburton,2/29,2000
1030,Taylor Lilley,2/29,1988
1031,Nuria Martinez,2/29,1984
1032,Tausha Mills,2/29,1976
1033,Travis Diener,3/1,1982
1034,Chris Engler,3/1,1959
1035,Vincenzo Esposito,3/1,1969
1036,Willie Long,3/1,1950
1037,John Olive,3/1,1955
1038,Chris Owens,3/1,1979
1039,Ray Radziszewski,3/1,1935
1040,Wally Rank,3/1,1958
1041,Jeremy Richardson,3/1,1984
1042,Fred Scolari,3/1,1922
1043,Jeff Slade,3/1,1941
1044,Jarvis Varnado,3/1,1988
1045,Chris Webber,3/1,1973
1046,Brian Winters,3/1,1952
1047,Yolanda Griffith,3/1,1970
1048,Nicole Kubik,3/1,1978
1049,Nicolás Brussino,3/2,1993
1050,Ned Endress,3/2,1918
1051,John Hazen,3/2,1927
1052,Jonas Jerebko,3/2,1987
1053,Mike McCarron,3/2,1922
1054,Dexter Pittman,3/2,1988
1055,Dwayne Polee,3/2,1963
1056,Jason Smith,3/2,1986
1057,Dominique Canty,3/2,1977
1058,Tianna Hawkins,3/2,1991
1059,Arike Ogunbowale,3/2,1997
1060,Don Carlos,3/3,1944
1061,Cornelius Cash,3/3,1952
1062,Pete Darcey,3/3,1930
1063,Billy Evans,3/3,1947
1064,Markus Howard,3/3,1999
1065,Jim Jarvis,3/3,1943
1066,Cameron Johnson,3/3,1996
1067,Corey Kispert,3/3,1999
1068,Johnny Moore,3/3,1958
1069,Dan O'Sullivan,3/3,1968
1070,Frank Radovich,3/3,1938
1071,Jayson Tatum,3/3,1998
1072,Jordan Walsh,3/3,2004
1073,Willie Wise,3/3,1947
1074,Guillermo Díaz,3/4,1985
1075,Alex Garcia,3/4,1980
1076,Draymond Green,3/4,1990
1077,Trenton Hassell,3/4,1979
1078,Kevin Johnson,3/4,1966
1079,Gal Mekel,3/4,1988
1080,Jack Parkinson,3/4,1924
1081,Frank Reddout,3/4,1931
1082,Jared Sullinger,3/4,1992
1083,Matisse Thybulle,3/4,1997
1084,Obi Toppin,3/4,1998
1085,Cara Consuegra,3/4,1979
1086,Kristi Harrower,3/4,1975
1087,Joel Ayayi,3/5,2000
1088,Corey Brewer,3/5,1986
1089,Leroy Chollet,3/5,1925
1090,Larry Drew II,3/5,1990
1091,Charles Dudley,3/5,1950
1092,Corsley Edwards,3/5,1979
1093,Brian Grant,3/5,1972
1094,Carroll Hooser,3/5,1944
1095,Cedric Jackson,3/5,1986
1096,Šarūnas Jasikevičius,3/5,1976
1097,Tom Kelly,3/5,1924
1098,Rob Kurz,3/5,1985
1099,Emmanuel Mudiay,3/5,1996
1100,Johnny Norlander,3/5,1921
1101,Mason Plumlee,3/5,1990
1102,Bob Quick,3/5,1946
1103,Scott Skiles,3/5,1964
1104,Wally Szczerbiak,3/5,1977
1105,Killian Tillie,3/5,1998
1106,Reggie Williams,3/5,1964
1107,Diamond DeShields,3/5,1995
1108,Don Boven,3/6,1925
1109,Dwight Buycks,3/6,1989
1110,John Celestand,3/6,1977
1111,Michael Finley,3/6,1973
1112,Sleepy Floyd,3/6,1960
1113,Josh Hart,3/6,1995
1114,John Jenkins,3/6,1991
1115,Coby Karl,3/6,1983
1116,Negele Knight,3/6,1967
1117,Darrick Martin,3/6,1971
1118,Malcolm Miller,3/6,1993
1119,Kevin Murphy,3/6,1990
1120,Shaquille O'Neal,3/6,1972
1121,Greg Ostertag,3/6,1973
1122,Marcus Smart,3/6,1994
1123,Irv Torgoff,3/6,1917
1124,Elnardo Webster,3/6,1948
1125,Michelle Edwards,3/6,1966
1126,Carla McGhee,3/6,1968
1127,Naomi Mulitauaopele,3/6,1976
1128,Kate Paye,3/6,1974
1129,Tari Phillips,3/6,1970
1130,Cedric Bozeman,3/7,1983
1131,Ian Clark,3/7,1991
1132,Greg Fillmore,3/7,1947
1133,Litterial Green,3/7,1970
1134,Jake Layman,3/7,1994
1135,Tyrese Martin,3/7,1999
1136,John O'Boyle,3/7,1928
1137,Andy Phillip,3/7,1922
1138,Bob Rensberger,3/7,1921
1139,Devin Robinson,3/7,1995
1140,Les Selvage,3/7,1943
1141,Grant Simmons,3/7,1943
1142,Ollie Taylor,3/7,1947
1143,Sam Williams,3/7,1959
1144,Jeff Withey,3/7,1990
1145,Sidney Spencer,3/7,1985
1146,Danielle Viglione,3/7,1975
1147,Haixia Zheng,3/7,1967
1148,Bobby Edmonds,3/8,1941
1149,Michael Frazier,3/8,1994
1150,Marko Gudurić,3/8,1995
1151,Robbie Hummel,3/8,1989
1152,Kenny Smith,3/8,1965
1153,Sasha Vujačić,3/8,1984
1154,Isaiah Whitehead,3/8,1995
1155,Buck Williams,3/8,1960
1156,Bob Wilson,3/8,1926
1157,Yvonne Anderson,3/8,1990
1158,Moriah Jefferson,3/8,1994
1159,Rui Machida,3/8,1993
1160,Tiffany McCain,3/8,1978
1161,Mahmoud Abdul-Rauf,3/9,1969
1162,Matt Barnes,3/9,1980
1163,Dwaine Dillard,3/9,1949
1164,Adonal Foyle,3/9,1975
1165,Usman Garuba,3/9,2002
1166,Tom King,3/9,1924
1167,Jeff Lamp,3/9,1959
1168,Boniface N'Dong,3/9,1977
1169,Ronnie Robinson,3/9,1951
1170,Ben Schadler,3/9,1924
1171,Wayne Simien,3/9,1983
1172,Keith Smith,3/9,1964
1173,Joe Thomas,3/9,1948
1174,Darrell Walker,3/9,1961
1175,Ron Widby,3/9,1945
1176,Jeff Wilkins,3/9,1955
1177,Sonia Chase,3/9,1976
1178,Erika de Souza,3/9,1982
1179,Jamierra Faulkner,3/9,1992
1180,Kwame Brown,3/10,1982
1181,Jackie Butler,3/10,1985
1182,Austin Carr,3/10,1948
1183,Pat Durham,3/10,1967
1184,Bulbs Ehlers,3/10,1923
1185,Leroy Ellis,3/10,1940
1186,Bill Gaines,3/10,1946
1187,Kirk Haston,3/10,1979
1188,Elijah Hughes,3/10,1998
1189,Keon Johnson,3/10,2002
1190,Zach LaVine,3/10,1995
1191,Ricky Marsh,3/10,1954
1192,Tim McCormick,3/10,1962
1193,Dick Murphy,3/10,1921
1194,Andy O'Donnell,3/10,1925
1195,Quincy Pondexter,3/10,1988
1196,Robert Smith,3/10,1955
1197,Chris Taft,3/10,1985
1198,Pete Williams,3/10,1965
1199,Mark Workman,3/10,1930
1200,Tasha Butts,3/10,1982
1201,Clarissa Dos Santos,3/10,1988
1202,Annie La Fleur,3/10,1969
1203,Nyree Roberts,3/10,1976
1204,Tom Barker,3/11,1955
1205,Vince Boryla,3/11,1927
1206,Elton Brand,3/11,1979
1207,Greg Butler,3/11,1966
1208,Anthony Davis,3/11,1993
1209,Malcolm Delaney,3/11,1989
1210,Rod Derline,3/11,1952
1211,Cedric Henderson,3/11,1975
1212,Orlando Johnson,3/11,1989
1213,Fred Jones,3/11,1979
1214,Terry Kunze,3/11,1943
1215,Jim McMillian,3/11,1948
1216,Shellie McMillon,3/11,1936
1217,Jackie Moreland,3/11,1938
1218,Tom Sewell,3/11,1962
1219,Ray Spalding,3/11,1997
1220,Becky Hammon,3/11,1977
1221,Martynas Andriuškevičius,3/12,1986
1222,Charlie Bell,3/12,1979
1223,Chris Carr,3/12,1974
1224,Carsen Edwards,3/12,1998
1225,Jerami Grant,3/12,1994
1226,Kleggie Hermsen,3/12,1923
1227,Bob Houbregs,3/12,1932
1228,Johnny Jones,3/12,1943
1229,Maurice King,3/12,1935
1230,Scottie Lewis,3/12,2000
1231,Grant Long,3/12,1966
1232,Erwin Mueller,3/12,1944
1233,John Richter,3/12,1937
1234,Isaiah Rider,3/12,1971
1235,Rex Walters,3/12,1970
1236,Rickey Williams,3/12,1957
1237,Jamie Carey,3/12,1981
1238,Fran Harris,3/12,1965
1239,Kim Mestdagh,3/12,1990
1240,Crystal Smith,3/12,1984
1241,Caron Butler,3/13,1980
1242,Dave Hoppen,3/13,1964
1243,Troy Hudson,3/13,1976
1244,Bobby Jackson,3/13,1973
1245,Kurt Nimphius,3/13,1958
1246,Jack Parr,3/13,1936
1247,Bill Roberts,3/13,1925
1248,Cliff Robinson,3/13,1960
1249,Oliver Robinson,3/13,1960
1250,Landry Shamet,3/13,1997
1251,Fatty Taylor,3/13,1946
1252,Tristan Thompson,3/13,1991
1253,Iziane Castro Marques,3/13,1982
1254,Tonya Edwards,3/13,1968
1255,Dalma Ivanyi,3/13,1976
1256,Vanessa Nygaard,3/13,1975
1257,Nicole Ohlde,3/13,1982
1258,Marvin Bagley III,3/14,1999
1259,Anthony Bennett,3/14,1993
1260,Darrel Brown,3/14,1923
1261,Stephen Curry,3/14,1988
1262,Bob Fitzgerald,3/14,1923
1263,Ira Harge,3/14,1941
1264,Larry Johnson,3/14,1969
1265,Clyde Lee,3/14,1944
1266,Henry Logan,3/14,1946
1267,Nico Mannion,3/14,2001
1268,Max Morris,3/14,1925
1269,Patrick Patterson,3/14,1989
1270,Chuck Share,3/14,1927
1271,Keith Starr,3/14,1954
1272,Wes Unseld,3/14,1946
1273,Sam Watts,3/14,1948
1274,Ambrosia Anderson,3/14,1984
1275,Terry Cummings,3/15,1961
1276,Xavier Henry,3/15,1991
1277,John Janisch,3/15,1920
1278,Kevin Loder,3/15,1959
1279,Jabari Parker,3/15,1995
1280,Connie Simmons,3/15,1925
1281,Brady Walker,3/15,1921
1282,Kaela Davis,3/15,1995
1283,Sergei Bazarevich,3/16,1965
1284,Jim Bradley,3/16,1952
1285,Reggie Bullock,3/16,1991
1286,Toney Douglas,3/16,1986
1287,Joel Embiid,3/16,1994
1288,Blake Griffin,3/16,1989
1289,Tim Hardaway Jr.,3/16,1992
1290,Bob Harris,3/16,1927
1291,Porter Meriwether,3/16,1940
1292,Matt Othick,3/16,1969
1293,Jalen Smith,3/16,2000
1294,Blake Wesley,3/16,2003
1295,Trevor Wilson,3/16,1968
1296,Kierstan Bell,3/16,2000
1297,Cindy Brown,3/16,1965
1298,Ashley Joens,3/16,2000
1299,Jaclyn Johnson,3/16,1979
1300,Catarina Pollini,3/16,1966
1301,Cecilia Zandalasini,3/16,1996
1302,Danny Ainge,3/17,1959
1303,Sam Bowie,3/17,1961
1304,Steve Bucknall,3/17,1966
1305,Chris Copeland,3/17,1984
1306,Bobby Croft,3/17,1946
1307,Dyson Daniels,3/17,2003
1308,Pat Dunn,3/17,1931
1309,Johnny Juzang,3/17,2001
1310,Kyle Korver,3/17,1981
1311,Clyde Mayes,3/17,1953
1312,Jeremy Pargo,3/17,1986
1313,Thomas Robinson,3/17,1991
1314,Terry Rozier,3/17,1994
1315,Willie Somerset,3/17,1942
1316,Katrina Colleton,3/17,1971
1317,Bashaara Graves,3/17,1994
1318,Judy Mosley-McAfee,3/17,1968
1319,Kedrick Brown,3/18,1981
1320,Sherron Collins,3/18,1987
1321,Kris Dunn,3/18,1994
1322,Fred Foster,3/18,1946
1323,Steve Goodrich,3/18,1976
1324,Solomon Hill,3/18,1991
1325,Bill Jones,3/18,1966
1326,Stanton Kidd,3/18,1992
1327,Skal Labissière,3/18,1996
1328,Mike Lewis,3/18,1946
1329,Glenn McDonald,3/18,1952
1330,C.J. Miles,3/18,1987
1331,Jeff Mullins,3/18,1942
1332,Kasib Powell,3/18,1981
1333,Soumaila Samake,3/18,1978
1334,Brian Scalabrine,3/18,1978
1335,Jake Weber,3/18,1918
1336,Win Wilfong,3/18,1933
1337,Dale Wilkinson,3/18,1960
1338,Ivica Zubac,3/18,1997
1339,Laure Savasta,3/18,1974
1340,Kylee Shook,3/18,1998
1341,Nate Bowman,3/19,1943
1342,Dudley Bradley,3/19,1957
1343,Anthony Cook,3/19,1967
1344,Antonio Daniels,3/19,1975
1345,Larry Fogle,3/19,1953
1346,Donte Grantham,3/19,1995
1347,Tyrone Hill,3/19,1968
1348,Casey Jacobsen,3/19,1981
1349,Scott May,3/19,1954
1350,Andre Miller,3/19,1976
1351,Murray Mitchell,3/19,1923
1352,Jim Phelan,3/19,1929
1353,Miloš Teodosić,3/19,1987
1354,Hedo Türkoğlu,3/19,1979
1355,Ben Uzoh,3/19,1988
1356,Chandra Johnson,3/19,1981
1357,John Barnhill,3/20,1938
1358,Mookie Blaylock,3/20,1967
1359,Ronnie Brewer,3/20,1985
1360,Jon Brockman,3/20,1987
1361,Jamal Cain,3/20,1999
1362,Jimmy Conner,3/20,1953
1363,Jamal Crawford,3/20,1980
1364,Derrek Dickey,3/20,1951
1365,Wyndol Gray,3/20,1922
1366,Bobby Lewis,3/20,1945
1367,Leo Rautins,3/20,1960
1368,Pat Riley,3/20,1945
1369,JaKarr Sampson,3/20,1993
1370,Belus Smawley,3/20,1918
1371,Phil Walker,3/20,1956
1372,Bob Warlick,3/20,1941
1373,Lindsay Allen,3/20,1995
1374,Sharon Manning,3/20,1969
1375,Michelle Snow,3/20,1980
1376,Tiffany Travis,3/20,1978
1377,Solomon Alabi,3/21,1988
1378,Orb Bowling,3/21,1939
1379,Miles Bridges,3/21,1998
1380,Norm Cook,3/21,1955
1381,Mike Dunleavy,3/21,1954
1382,Johnny Ezersky,3/21,1922
1383,Tarence Kinsey,3/21,1984
1384,Doug Kistler,3/21,1938
1385,Darius Miller,3/21,1990
1386,Fabricio Oberto,3/21,1975
1387,Reggie Perry,3/21,2000
1388,Vitaly Potapenko,3/21,1975
1389,Steve Sheppard,3/21,1954
1390,Scott Williams,3/21,1968
1391,Vincent Yarbrough,3/21,1981
1392,Kalani Brown,3/21,1997
1393,Jennifer Lacy,3/21,1983
1394,Loree Moore,3/21,1983
1395,Chiney Ogwumike,3/21,1992
1396,Shawn Bradley,3/22,1972
1397,Marcus Camby,3/22,1974
1398,Don Carlson,3/22,1919
1399,Don Chaney,3/22,1946
1400,Deng Gai,3/22,1982
1401,Lamar Green,3/22,1947
1402,Kevin Henderson,3/22,1964
1403,John Konchar,3/22,1996
1404,Ed Macauley,3/22,1928
1405,Chimezie Metu,3/22,1997
1406,RJ Nembhard Jr.,3/22,1999
1407,Sonny Parker,3/22,1955
1408,Bob Portman,3/22,1947
1409,Taurean Prince,3/22,1994
1410,Brian Shaw,3/22,1966
1411,Edy Tavares,3/22,1992
1412,Wayne Turner,3/22,1976
1413,Bobby Watson,3/22,1930
1414,La'Tangela Atkinson,3/22,1984
1415,Nicky McCrimmon,3/22,1972
1416,Tia Paschal,3/22,1969
1417,Nikki Teasley,3/22,1979
1418,Michael Anderson,3/23,1966
1419,Facundo Campazzo,3/23,1991
1420,Quinn Cook,3/23,1993
1421,Joseph Forte,3/23,1981
1422,Gordon Hayward,3/23,1990
1423,Trevor Hudgins,3/23,1999
1424,Kyrie Irving,3/23,1992
1425,Jeff Judkins,3/23,1956
1426,Rich Kelley,3/23,1953
1427,Jason Kidd,3/23,1973
1428,Norm Mager,3/23,1926
1429,Moses Malone,3/23,1955
1430,Mel Peterson,3/23,1938
1431,Charles Pittman,3/23,1958
1432,Mickey Rottner,3/23,1919
1433,David Vaughn,3/23,1973
1434,Paul Walther,3/23,1927
1435,Eric Washington,3/23,1974
1436,Kaila Charles,3/23,1998
1437,Chris Bosh,3/24,1984
1438,Marques Bragg,3/24,1970
1439,T.J. Ford,3/24,1983
1440,Bart Kofoed,3/24,1964
1441,Larry Micheaux,3/24,1960
1442,Bob Priddy,3/24,1930
1443,Dexter Shouse,3/24,1963
1444,Myles Turner,3/24,1996
1445,Duane Washington Jr.,3/24,2000
1446,Earl Williams,3/24,1951
1447,Mike Woodson,3/24,1958
1448,Felicia Chester,3/24,1988
1449,Lauren Ervin,3/24,1985
1450,Michelle Greco,3/24,1980
1451,Penny Toler,3/24,1966
1452,James Anderson,3/25,1989
1453,Darrell Arthur,3/25,1988
1454,Marco Belinelli,3/25,1986
1455,Ken Boyd,3/25,1952
1456,William Cunningham,3/25,1974
1457,Dale Davis,3/25,1969
1458,Dick Duckett,3/25,1933
1459,Tyler Hall,3/25,1997
1460,Avery Johnson,3/25,1965
1461,Grady Lewis,3/25,1917
1462,Kyle Lowry,3/25,1986
1463,Fernando Martín,3/25,1962
1464,T.J. McConnell,3/25,1992
1465,Lawrence Moten,3/25,1972
1466,Dennis Nutt,3/25,1963
1467,Bob Sura,3/25,1973
1468,Adonis Thomas,3/25,1993
1469,Jamel Thomas,3/25,1973
1470,Andy Walker,3/25,1955
1471,D.C. Wilcutt,3/25,1923
1472,Leon Wood,3/25,1962
1473,Chandi Jones,3/25,1982
1474,Sheryl Swoopes,3/25,1971
1475,Jocelyn Willoughby,3/25,1998
1476,Ryan Arcidiacono,3/26,1994
1477,Dave Batton,3/26,1956
1478,Al Bianchi,3/26,1932
1479,Joe Binion,3/26,1961
1480,Uwe Blab,3/26,1962
1481,Wayne Embry,3/26,1937
1482,Daniel Ewing,3/26,1983
1483,Wenyen Gabriel,3/26,1997
1484,Justin Minaya,3/26,1999
1485,Kyle O'Quinn,3/26,1990
1486,John Stockton,3/26,1962
1487,Jack Thompson,3/26,1946
1488,Justise Winslow,3/26,1996
1489,Brad Wright,3/26,1962
1490,Jacqueline Batteast,3/26,1983
1491,Anastasia Kostaki,3/26,1978
1492,Leaonna Odom,3/26,1998
1493,Cory Blackwell,3/27,1963
1494,Danny Fortson,3/27,1976
1495,Tom Hammonds,3/27,1967
1496,Žarko Paspalj,3/27,1966
1497,Ed Pinckney,3/27,1963
1498,David Roddy,3/27,2001
1499,Josh Selby,3/27,1991
1500,Henry Sims,3/27,1990
1501,Matt Steigenga,3/27,1970
1502,Shayne Whittington,3/27,1991
1503,Alex Harden,3/27,1993
1504,Rick Barry,3/28,1944
1505,Chris Corchiani,3/28,1968
1506,Pete Cross,3/28,1948
1507,Aubrey Davis,3/28,1921
1508,Len Elmore,3/28,1952
1509,Marcus Georges-Hunt,3/28,1994
1510,Derrick Gervin,3/28,1963
1511,Justin Jackson,3/28,1995
1512,Nick Jones,3/28,1945
1513,Sam Lacey,3/28,1948
1514,Ralph Lewis,3/28,1963
1515,Kevin Loughery,3/28,1940
1516,Jordan McRae,3/28,1991
1517,Elliot Perry,3/28,1969
1518,Wesley Person,3/28,1971
1519,Byron Scott,3/28,1961
1520,Jerry Sloan,3/28,1942
1521,Michael Smith,3/28,1972
1522,Max Strus,3/28,1996
1523,Bill Thieben,3/28,1935
1524,Alexander Volkov,3/28,1964
1525,M.J. Walker,3/28,1998
1526,Luke Walton,3/28,1980
1527,Lindell Wigginton,3/28,1998
1528,Chastity Reed,3/28,1989
1529,Li Yueru,3/28,1999
1530,Robert Archibald,3/29,1980
1531,Wade Baldwin,3/29,1996
1532,Ben Bentil,3/29,1995
1533,Kay Felder,3/29,1995
1534,Walt Frazier,3/29,1945
1535,Travis Leslie,3/29,1990
1536,Sammy Little,3/29,1946
1537,Carl Meinhold,3/29,1926
1538,Dana Pagett,3/29,1949
1539,Howie Rader,3/29,1921
1540,Igor Rakočević,3/29,1978
1541,Ed Ratleff,3/29,1950
1542,Bob Schafer,3/29,1933
1543,Glen Selbo,3/29,1926
1544,Herschell Turner,3/29,1938
1545,Dennis Wuycik,3/29,1950
1546,Jennifer Derevjanik,3/29,1982
1547,Megan Frazee,3/29,1987
1548,Korie Hlede,3/29,1975
1549,Ron Baker,3/30,1993
1550,Shaler Halimon,3/30,1945
1551,Jaylen Hoard,3/30,1999
1552,Jerry Lucas,3/30,1940
1553,LaRue Martin,3/30,1950
1554,Ossie Schectman,3/30,1919
1555,Admiral Schofield,3/30,1997
1556,Angela Jackson,3/30,1976
1557,Kiah Stokes,3/30,1993
1558,Daliborka Vilipic,3/30,1975
1559,Brooke Wyckoff,3/30,1980
1560,Don Barksdale,3/31,1923
1561,Onuralp Bitim,3/31,1999
1562,Cal Bowdler,3/31,1977
1563,Dennis DuVal,3/31,1952
1564,Armond Hill,3/31,1953
1565,Charles Johnson,3/31,1949
1566,Dave Lee,3/31,1942
1567,DeAndre Liggins,3/31,1988
